name,score,Energy,Fat,Saturated Fat,Unsaturated Fat,Carbohydrates,Suger,Fiber,Protein,Salt,Calcium,Vitamin B2,Vitamin C,Omega3,Alpha-Linolenic Acid,Eicosapentaenoic Acid,Docosahexaenoic Acid,Vitamin B6,Vitamin D
AH Rundergehakt,C,228.0,16.0,7.1,6.9,0.9,0.0,0.0,20.0,0.2,,,,,,,,,
AH Scharrel kipfiletblokjes,A,114.0,1.2,0.5,0.7,0.0,0.0,1.6,25.0,0.1,,,,,,,,,
Meester & Zn. Gerookte spekreepjes,E,305.0,27.0,11.0,16.0,0.5,0.5,0.0,15.0,3.0,,,,,,,,,
AH Scharrel kipfilet 2 stuks,A,114.0,1.2,0.5,0.7,0.0,0.0,1.6,25.0,0.1,,,,,,,,,
AH Gerookte spekreepjes,E,282.0,24.0,9.0,15.0,0.5,0.5,0.0,16.0,2.0,,,,,,,,,
AH Scharrel krokante kipfiletschnitzel,C,234.0,13.0,2.5,9.8,17.0,0.4,0.7,12.0,1.23,,,,,,,,,
AH Rundergehakt,C,228.0,16.0,7.1,6.9,0.9,0.0,0.0,20.0,0.2,,,,,,,,,
AH Greenfields Beefburger naturel,D,262.0,20.0,8.9,8.7,1.6,0.01,0.03,19.0,1.23,,,,,,,,,
AH Scharrel kipfilethaasjes,A,114.0,1.2,0.5,0.7,0.0,0.0,1.6,25.0,0.1,,,,,,,,,
AH Scharrel kipfiletblokjes,A,107.0,1.7,0.6,1.0,0.0,0.0,0.0,23.0,0.25,,,,,,,,,
AH Gerookte zalmfilet,D,210.0,14.0,3.0,10.0,0.0,0.0,0.0,21.0,2.55,,,,,,,,,
AH Half-om-half gehakt,C,228.0,16.0,6.7,7.5,0.9,0.0,0.0,20.0,0.2,,,,,,,,,
AH Scharrel kipfilet,A,114.0,1.2,0.5,0.7,0.0,0.0,1.6,25.0,0.1,,,,,,,,,
AH Scharrel kipdijfilet,A,155.0,8.7,3.4,5.3,0.0,0.0,0.5,19.0,0.15,,,,,,,,,
AH Scharrel kipschnitzel 2 stuks,C,240.0,14.0,2.9,10.0,17.0,1.1,1.1,11.0,1.28,,,,,,,,,
