name,score,Energy,Fat,Saturated Fat,Unsaturated Fat,Carbohydrates,Suger,Fiber,Protein,Salt,Omega3,Alpha-Linolenic Acid,Eicosapentaenoic Acid,Docosahexaenoic Acid,Vitamin C
AH Rundergehakt,C,228.0,16.0,7.1,6.9,0.9,0.0,0.0,20.0,0.2,,,,,
AH Zalmfilet,A,220.0,16.0,2.5,14.0,0.0,0.0,0.0,19.0,0.2,2.0,,,,
AH Achterham,C,102.0,2.1,0.8,1.3,4.8,0.6,0.08,16.0,2.25,,,,,
AH Biologisch Gerookte zalm,D,200.0,12.0,3.0,9.0,0.0,0.0,0.0,23.0,3.0,,,,,
AH Ontbijtspek,E,272.0,22.0,8.0,14.0,0.5,0.5,0.0,18.0,2.5,,,,,
AH Half-om-half gehakt,C,228.0,16.0,6.7,7.5,0.9,0.0,0.0,20.0,0.2,,,,,
AH Scharrel kipfiletblokjes,A,114.0,1.2,0.5,0.7,0.0,0.0,1.6,25.0,0.1,,,,,
AH Boterhamworst,E,270.0,22.0,8.4,14.0,7.0,0.2,0.05,11.0,2.33,,,,,
AH Scharrel kipburger 4 stuks,C,284.0,18.0,4.7,13.0,18.0,1.1,1.2,12.0,1.0,,,,,
AH Hamblokjes,D,149.0,9.0,3.5,5.4,2.0,0.2,0.0,15.0,2.5,,,,,
AH Greenfields Beefburger jalapeno,D,266.0,20.0,9.0,8.9,2.2,0.5,0.6,19.0,1.43,,,,,
De Zaanse Hoeve Pittig 45+ geraspt,E,420.0,32.0,22.0,8.5,2.0,0.0,0.0,31.0,2.1,,,,,
Meester & Zn. Gerookte spekreepjes,E,305.0,27.0,11.0,16.0,0.5,0.5,0.0,15.0,3.0,,,,,
AH Scharrel krokante kipfilet burger,C,240.0,12.0,2.2,9.3,17.0,0.6,0.0,16.0,1.28,,,,,
AH Scharrel kipfilet 3 stuks,A,114.0,1.2,0.5,0.7,0.0,0.0,1.6,25.0,0.1,,,,,
AH Scharrel kip cordon bleu 2 stuks,B,209.0,11.0,2.9,8.3,14.0,0.7,1.1,13.0,1.13,,,,,
